14:42:36:722 [ALWAYS]	GUDE Logging Started
14:42:38:130 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:42:38:130 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:42:38:130 [ERROR]	Initialize resume cache pointer failure
14:42:38:130 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:42:38:131 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:42:40:898 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:42:40:898 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:42:40:898 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:42:40:899 [ERROR]	Initialize resume cache pointer failure
14:42:40:899 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:42:40:899 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
